Index,tracks,Timestamp,X,Y,Z,Speed_X,Speed_Y,Speed_Z,Speed,Year,Month,Day,Hour,Min,Sec
553341,8,1579018410.40927,-1474.76533891005,-181.110252340324,-488.161506580972,NaN,NaN,20.8863618810542,NaN,2020,1,14,16,13,30.409265625
553366,8,1579018421.62576,-1478.92421922996,-178.404632050544,-479.378989411952,NaN,1.2650484261799,NaN,1.2650484261799,2020,1,14,16,13,41.625760417
553373,8,1579018422.61439,-1460.79341708997,-176.116843449883,-408.777886322675,-12.6648524194499,NaN,NaN,NaN,2020,1,14,16,13,42.614393228
553377,8,1579018423.11911,-1544.78167931002,-132.125362940133,-419.972378675715,NaN,NaN,NaN,NaN,2020,1,14,16,13,43.119114583
553383,8,1579018423.67194,-1547.92011536006,-180.487671290524,-325.208791692584,NaN,NaN,NaN,NaN,2020,1,14,16,13,43.671942708
553385,8,1579018424.02347,-1565.70329830004,-134.869919020683,-488.556665363685,-16.0702856515189,13.8540630518037,NaN,NaN,2020,1,14,16,13,44.023466146
553389,8,1579018424.34618,-1555.57062188,-187.711561980657,-345.552799999851,NaN,24.3794403813704,NaN,NaN,2020,1,14,16,13,44.346182291
553393,8,1579018424.9982,-1552.45239947003,-190.954863769934,-315.893380013954,NaN,24.7309545649634,NaN,24.7309545649634,2020,1,14,16,13,44.998197917
553401,8,1579018426.28579,-1546.24185720005,-186.710912510753,-281.80388058944,NaN,NaN,NaN,NaN,2020,1,14,16,13,46.285786458
553422,8,1579018433.64497,-1560.78379697003,-169.446256250143,-382.293076924496,-1.51905186801569,NaN,0.276773507980968,1.54406028134981,2020,1,14,16,13,53.644966146
553439,8,1579018437.58607,-1543.85368683003,-136.018346250057,-361.843839040762,-3.49417962362992,15.7918868106376,-9.33968360733661,18.6767949650718,2020,1,14,16,13,57.586065104
553463,8,1579018446.96977,-1544.54323843005,-54.5188829600811,-477.247490446302,NaN,14.8014861496908,NaN,14.8014861496908,2020,1,14,16,14,6.969770833
553466,8,1579018447.30282,-1542.57423021004,-57.7073056800291,-465.334444758096,-28.1750932513782,NaN,NaN,NaN,2020,1,14,16,14,7.302820312
553469,8,1579018447.63304,-1654.68117742997,-40.1957093505189,-381.161506892742,NaN,NaN,NaN,NaN,2020,1,14,16,14,7.633044271
553471,8,1579018447.94113,-1652.89330383006,-19.3828325904906,-406.417968175918,NaN,NaN,NaN,NaN,2020,1,14,16,14,7.941130208
553473,8,1579018448.23008,-1657.73098452005,-23.0162182804197,-419.014737874987,-30.136100548994,NaN,NaN,NaN,2020,1,14,16,14,8.230083333
553474,8,1579018448.5181,-1658.90776741004,-20.3019149405882,-426.830827771695,-26.4143407587622,NaN,NaN,NaN,2020,1,14,16,14,8.518098958
553478,8,1579018449.33009,-1668.85010912002,-32.1531217899173,-443.370928904453,NaN,26.2714709953315,23.4130571966786,35.1903599804476,2020,1,14,16,14,9.330091146
553479,8,1579018449.59776,-1669.55842348002,-33.2797455498949,-443.04789292131,-9.70874804788935,24.4334303080036,NaN,26.2916774906712,2020,1,14,16,14,9.597757812
553480,8,1579018450.18454,-1667.54117990006,-17.4199588801712,-455.41474743349,-14.994249537389,8.84065625750416,-32.3991385782391,36.7789192726591,2020,1,14,16,14,10.184544271
553482,8,1579018451.22189,-1659.17472884001,6.95340291969478,-453.330442704612,-14.517388334336,29.1188378108811,NaN,32.5370754602547,2020,1,14,16,14,11.221890625
553484,8,1579018452.38146,-1657.53136148001,-2.60148556996137,-432.809168435756,-7.84591566956216,25.6835504306529,NaN,26.8552258493161,2020,1,14,16,14,12.381458333
553486,8,1579018454.45395,-1663.79572675005,-0.8744733100757,-446.765059274994,-1.75201737254718,3.036742671063,NaN,3.50590515045144,2020,1,14,16,14,14.453945313
553513,8,1579018465.08165,-1670.73846646002,0.89496929012239,-455.734644714119,-0.319828672533527,1.32579740618607,1.7888318904306,2.24943296727104,2020,1,14,16,14,25.081648437
553516,8,1579018465.79738,-1708.41142411006,20.7704506898299,-424.372322959765,NaN,NaN,NaN,NaN,2020,1,14,16,14,25.797377604
553519,8,1579018466.17959,-1704.41514801001,26.3360991394147,-415.209007287322,NaN,43.7179879929303,34.2483927183115,NaN,2020,1,14,16,14,26.179585937
553521,8,1579018466.56959,-1703.88051881001,25.0993617000058,-411.221914537791,-5.77938518417048,NaN,NaN,5.77938518417048,2020,1,14,16,14,26.56959375
553523,8,1579018466.96363,-1703.16294754995,25.719018519856,-408.208878705001,-6.56342864144301,NaN,NaN,6.56342864144301,2020,1,14,16,14,26.963630208
553525,8,1579018467.34489,-1705.31732579006,22.3689845297486,-411.405161688732,-18.8671615823823,NaN,NaN,18.8671615823823,2020,1,14,16,14,27.344893229
553530,8,1579018467.72484,-1711.96839786996,16.2364323092625,-425.536902470521,-31.5092401363082,NaN,NaN,NaN,2020,1,14,16,14,27.724841146
553535,8,1579018468.48893,-1722.76155875996,10.927075419575,-451.849184918712,-33.8052327623101,3.7657352948433,21.5864189945858,40.285828890996,2020,1,14,16,14,28.488934896
553541,8,1579018470.41441,-1723.69026601,-1.1336972406134,-437.200125373561,-10.9197266030361,NaN,-9.65484455842835,14.5758859947678,2020,1,14,16,14,30.414408854
553543,8,1579018470.79058,-1723.64935152,1.26390159968287,-439.376177191028,-4.44393068487554,NaN,NaN,4.44393068487554,2020,1,14,16,14,30.790578125
553545,8,1579018471.16662,-1775.84540969005,13.5929859895259,-415.564107576617,NaN,NaN,NaN,NaN,2020,1,14,16,14,31.166622396
553548,8,1579018471.54773,-1860.01145055005,55.1502667497844,-395.709282986603,NaN,NaN,-5.4108039835942,NaN,2020,1,14,16,14,31.547726562
553590,8,1579018493.28723,-1880.45807755005,79.6485240897164,-440.114726412758,-6.80627321771211,5.25043193102286,-0.965698437464785,8.65014242938065,2020,1,14,16,14,53.287226563
553592,8,1579018495.32266,-1845.20248513005,113.924082709476,-359.818617816328,-13.0960722557365,43.4117997732314,4.28419179597777,NaN,2020,1,14,16,14,55.32265625
553604,8,1579018500.44105,-1858.04817465006,104.24008766003,-380.492542319199,-3.58136842122229,9.05478733311874,2.94358554574498,10.1725153861596,2020,1,14,16,15,0.441046875
553618,8,1579018506.85844,-1868.23197498999,115.591342909262,-416.709724938552,-5.73503080650094,0.717788844444504,NaN,5.77977501090862,2020,1,14,16,15,6.858442708
553650,8,1579018517.92904,-1891.53561181005,106.89673658926,-453.73469654806,-2.14257636079025,0.243965891535397,-1.62374861680731,2.69939111442442,2020,1,14,16,15,17.929044271
553656,8,1579018520.70474,-1885.17951875005,105.396265029907,-432.355585199961,-1.81404989385475,1.56755882158963,-5.42797080579234,5.9338760304772,2020,1,14,16,15,20.704736979
553660,8,1579018521.08816,-1881.40953384002,109.216423229314,-423.985352385114,-17.6985368668563,17.8805276126411,NaN,25.1585268832238,2020,1,14,16,15,21.088161458
553664,8,1579018521.47776,-1883.25544335996,106.799160359427,-426.69632021105,-16.8162231162183,-17.5968969458419,NaN,NaN,2020,1,14,16,15,21.477757812
553667,8,1579018521.87471,-1886.89522178995,113.257817359641,-443.114759887508,-23.9768643968516,NaN,-13.2978819679478,27.4175799650239,2020,1,14,16,15,21.874710937
553671,8,1579018522.2684,-1896.74538453005,112.354303459637,-467.991788053855,-21.216451463378,-11.0520322927672,NaN,23.9224837861424,2020,1,14,16,15,22.268395833
553676,8,1579018523.07005,-1890.46708345995,110.705487549305,-446.881366771807,-11.6978610898329,5.20855199366434,NaN,12.8050368194602,2020,1,14,16,15,23.070052083
553683,8,1579018524.22275,-1937.08984074998,105.542431320064,-438.478259388105,NaN,6.09992995827008,NaN,NaN,2020,1,14,16,15,24.222752603
553686,8,1579018524.59007,-1937.57012933004,101.354216579348,-435.288137607413,NaN,15.3767382139616,NaN,NaN,2020,1,14,16,15,24.590070312
553690,8,1579018524.96071,-1933.86561979004,104.667732790112,-426.516110222893,-1.86016129586473,12.3952977813648,NaN,12.5340977790721,2020,1,14,16,15,24.960705729
553703,8,1579018528.21198,-1948.79141337995,124.499135779217,-477.904449138375,NaN,6.22352890044355,6.58921696258109,9.06366880212547,2020,1,14,16,15,28.211981771
553717,8,1579018531.47175,-1923.22473835002,134.743352609687,-411.043329354272,NaN,10.810507099291,4.84379256709092,11.8460706640146,2020,1,14,16,15,31.47175
553722,8,1579018532.27697,-1929.73675854004,131.931951140054,-426.576412831762,NaN,22.9000681104769,19.2641338771951,29.9252397401087,2020,1,14,16,15,32.27696875
553727,8,1579018533.11246,-1923.60776627006,144.422857339494,-417.958710756068,14.02965505967,26.9107128429065,33.3349363279461,NaN,2020,1,14,16,15,33.112455728
553730,8,1579018533.53625,-1919.03761470004,149.065300399438,-407.59640896048,14.9010227866869,NaN,44.0126801144275,NaN,2020,1,14,16,15,33.53625
553735,8,1579018533.98409,-1917.37254017999,146.681190999225,-398.885837126523,NaN,NaN,NaN,NaN,2020,1,14,16,15,33.984091146
